assigned,longitude,latitude
fulvescens,-112.293333,29.015278
fulvescens,-110.780048,32.345013
fulvescens,-106.148333,23.251667
fulvescens,-111.002223,32.242674
fulvescens,-111.105531,32.356185
fulvescens,-111.251667,28.046667
fulvescens,-109.266667,31.333333
fulvescens,-110.966667,29.066667
fulvescens,-111.04,27.956667
fulvescens,-109.25,26.35
fulvescens,-106.9278544,32.5011891
fulvescens,-109.248333,27.225
fulvescens,-110.983333,31.85
fulvescens,-110.56432,31.913882
fulvescens,-109.3,26.95
fulvescens,-109.4,27.15
fulvescens,-110,27.083333
fulvescens,-109.933333,28.616667
fulvescens,-109.616667,28.616667
fulvescens,-110.583333,28.616667
fulvescens,-109.716667,28.583333
fulvescens,-111.2,31.2
fulvescens,-109.966667,27.483333
fulvescens,-110.7371476,32.2517662
fulvescens,-111.0576,32.042762
fulvescens,-111.58678,31.78981
fulvescens,-110.5,32.316667
fulvescens,-99.2506,31.2504
fulvescens,-110.193575,31.723569
fulvescens,-110.332395,31.905361
fulvescens,-110.926479,31.931489
fulvescens,-110.4925,32.4275
fulvescens,-109.897778,31.418333
fulvescens,-111.54608,31.47076
fulvescens,-99.13,23.753333
fulvescens,-106.965556,24.97
fulvescens,-109.1445571186,31.9143080898
fulvescens,-110.70534,32.43037
fulvescens,-110.864681,32.183396
fulvescens,-111.5837191,31.6770306
fulvescens,-110.44056,27.77333
fulvescens,-110.874503,32.0318371
fulvescens,-110.22163,31.87502
fulvescens,-110.9258,32.3378
fulvescens,-110.892871,31.7409592
fulvescens,-110.913915,27.9185669
fulvescens,-108.94054,27.0219511
fulvescens,-110.9666667,32.5166667
fulvescens,-108.7,26.9666667
fulvescens,-111.1833333,31.4333333
fulvescens,-110.3833333,29.4
fulvescens,-97.3961,27.8003
fulvescens,-106.4155556,23.2188889
fulvescens,-110.937275,31.1301168
fulvescens,-111.6666667,31.2666667
